http://www.llx.com/~nparker/a2/opcodes.html

isa  op  aaa bbb cc  addr mode
---  --  --- --- --  ---------
BRK  00  000 000 00  impl
ORA  01  000 000 01  X,ind
ORA  05  000 001 01  zpg
ASL  06  000 001 10  zpg
PHP  08  000 010 00  impl
ORA  09  000 010 01  #
ASL  0a  000 010 10  A
ORA  0d  000 011 01  abs
ASL  0e  000 011 10  abs
BPL  10  000 100 00  rel
ORA  11  000 100 01  ind,Y
ORA  15  000 101 01  zpg,X
ASL  16  000 101 10  zpg,X
CLC  18  000 110 00  impl
ORA  19  000 110 01  abs,Y
ORA  1d  000 111 01  abs,X
ASL  1e  000 111 10  abs,X
JSR  20  001 000 00  abs
AND  21  001 000 01  X,ind
BIT  24  001 001 00  zpg
AND  25  001 001 01  zpg
ROL  26  001 001 10  zpg
PLP  28  001 010 00  impl
AND  29  001 010 01  #
ROL  2a  001 010 10  A
BIT  2c  001 011 00  abs
AND  2d  001 011 01  abs
ROL  2e  001 011 10  abs
BMI  30  001 100 00  rel
AND  31  001 100 01  ind,Y
AND  35  001 101 01  zpg,X
ROL  36  001 101 10  zpg,X
SEC  38  001 110 00  impl
AND  39  001 110 01  abs,Y
AND  3d  001 111 01  abs,X
ROL  3e  001 111 10  abs,X
RTI  40  010 000 00  impl
EOR  41  010 000 01  X,ind
EOR  45  010 001 01  zpg
LSR  46  010 001 10  zpg
PHA  48  010 010 00  impl
EOR  49  010 010 01  #
LSR  4a  010 010 10  A
JMP  4c  010 011 00  abs
EOR  4d  010 011 01  abs
LSR  4e  010 011 10  abs
BVC  50  010 100 00  rel
EOR  51  010 100 01  ind,Y
EOR  55  010 101 01  zpg,X
LSR  56  010 101 10  zpg,X
CLI  58  010 110 00  impl
EOR  59  010 110 01  abs,Y
EOR  5d  010 111 01  abs,X
LSR  5e  010 111 10  abs,X
RTS  60  011 000 00  impl
ADC  61  011 000 01  X,ind
ADC  65  011 001 01  zpg
ROR  66  011 001 10  zpg
PLA  68  011 010 00  impl
ADC  69  011 010 01  #
ROR  6a  011 010 10  A
JMP  6c  011 011 00  ind
ADC  6d  011 011 01  abs
ROR  6e  011 011 10  abs
BVS  70  011 100 00  rel
ADC  71  011 100 01  ind,Y
ADC  75  011 101 01  zpg,X
ROR  76  011 101 10  zpg,X
SEI  78  011 110 00  impl
ADC  79  011 110 01  abs,Y
ADC  7d  011 111 01  abs,X
ROR  7e  011 111 10  abs,X
STA  81  100 000 01  X,ind
STY  84  100 001 00  zpg
STA  85  100 001 01  zpg
STX  86  100 001 10  zpg
DEY  88  100 010 00  impl
TXA  8a  100 010 10  impl
STY  8c  100 011 00  abs
STA  8d  100 011 01  abs
STX  8e  100 011 10  abs
BCC  90  100 100 00  rel
STA  91  100 100 01  ind,Y
STY  94  100 101 00  zpg,X
STA  95  100 101 01  zpg,X
STX  96  100 101 10  zpg,Y
TYA  98  100 110 00  impl
STA  99  100 110 01  abs,Y
TXS  9a  100 110 10  impl
STA  9d  100 111 01  abs,X
LDY  a0  101 000 00  #
LDA  a1  101 000 01  X,ind
LDX  a2  101 000 10  #
LDY  a4  101 001 00  zpg
LDA  a5  101 001 01  zpg
LDX  a6  101 001 10  zpg
TAY  a8  101 010 00  impl
LDA  a9  101 010 01  #
TAX  aa  101 010 10  impl
LDY  ac  101 011 00  abs
LDA  ad  101 011 01  abs
LDX  ae  101 011 10  abs
BCS  b0  101 100 00  rel
LDA  b1  101 100 01  ind,Y
LDY  b4  101 101 00  zpg,X
LDA  b5  101 101 01  zpg,X
LDX  b6  101 101 10  zpg,Y
CLV  b8  101 110 00  impl
LDA  b9  101 110 01  abs,Y
TSX  ba  101 110 10  impl
LDY  bc  101 111 00  abs,X
LDA  bd  101 111 01  abs,X
LDX  be  101 111 10  abs,Y
CPY  c0  110 000 00  #
CMP  c1  110 000 01  X,ind
CPY  c4  110 001 00  zpg
CMP  c5  110 001 01  zpg
DEC  c6  110 001 10  zpg
INY  c8  110 010 00  impl
CMP  c9  110 010 01  #
DEX  ca  110 010 10  impl
CPY  cc  110 011 00  abs
CMP  cd  110 011 01  abs
DEC  ce  110 011 10  abs
BNE  d0  110 100 00  rel
CMP  d1  110 100 01  ind,Y
CMP  d5  110 101 01  zpg,X
DEC  d6  110 101 10  zpg,X
CLD  d8  110 110 00  impl
CMP  d9  110 110 01  abs,Y
CMP  dd  110 111 01  abs,X
DEC  de  110 111 10  abs,X
CPX  e0  111 000 00  #
SBC  e1  111 000 01  X,ind
CPX  e4  111 001 00  zpg
SBC  e5  111 001 01  zpg
INC  e6  111 001 10  zpg
INX  e8  111 010 00  impl
SBC  e9  111 010 01  #
NOP  ea  111 010 10  impl
CPX  ec  111 011 00  abs
SBC  ed  111 011 01  abs
INC  ee  111 011 10  abs
BEQ  f0  111 100 00  rel
SBC  f1  111 100 01  ind,Y
SBC  f5  111 101 01  zpg,X
INC  f6  111 101 10  zpg,X
SED  f8  111 110 00  impl
SBC  f9  111 110 01  abs,Y
SBC  fd  111 111 01  abs,X
INC  fe  111 111 10  abs,X
